market,strategy,trades,total_return_pct,max_drawdown_pct,win_rate_pct,sharpe
KRW-BTC,sma_cross_20_80,18,6.909288164599836,-10.715117720812284,49.2439184746877,0.842657203190513
KRW-BTC,ema_cross_12_48,35,-1.7356355231983756,-17.670309404065776,48.79948085658663,-0.03642105758030011
KRW-BTC,trend_sma50_200,46,1.282299860350955,-8.00312771558196,48.8456865127582,0.2853368678680568
KRW-BTC,donchian_20_10,45,-7.96676978822134,-15.90414035778437,47.575250836120404,-0.7658936868835405
KRW-BTC,momentum_24_120,70,-12.22436988971558,-12.594987227646959,46.52173913043478,-2.1830304107233887
KRW-BTC,rsi_reversion_30_55,43,-19.89723826452322,-25.873965130466893,46.904761904761905,-2.3171830561107853
KRW-BTC,bb_reversion_20_2,48,-21.066702911014247,-26.81330791820121,46.61835748792271,-2.525739189241386
KRW-BTC,breakout_close_k05,351,-41.42638918625333,-41.61120235600261,36.79012345679013,-9.51332769363942
KRW-XRP,sma_cross_20_80,29,-29.53834389672767,-31.21913027832167,44.43528441879637,-2.7799420589926007
KRW-XRP,ema_cross_12_48,36,-25.95151185978399,-28.994519124862308,45.69037656903765,-2.2545370633288018
KRW-XRP,trend_sma50_200,54,-11.675864874804187,-20.66632718060697,46.85314685314685,-1.2708228589088688
KRW-XRP,donchian_20_10,38,-11.623846693388861,-20.849108984998587,45.76086956521739,-0.8365966591548624
KRW-XRP,momentum_24_120,65,-18.970138337392317,-22.945073766209777,45.10250569476082,-2.106740468609528
KRW-XRP,rsi_reversion_30_55,57,-18.39502917796737,-31.317332799406593,44.981751824817515,-1.3504114859013083
KRW-XRP,bb_reversion_20_2,54,-14.790894579560343,-27.29924201299927,45.00574052812859,-1.1383397009135505
KRW-XRP,breakout_close_k05,256,-25.547664449174988,-27.002284302714397,36.78929765886287,-3.7248256715884778
KRW-ETH,sma_cross_20_80,21,-12.499783118186814,-16.84036699983915,46.749452154857565,-0.910611963847402
KRW-ETH,ema_cross_12_48,40,-18.374346794341122,-23.875865449806867,45.91690544412608,-1.4363497182756735
KRW-ETH,trend_sma50_200,42,-2.6825861246204896,-8.49459609644988,48.33625218914185,-0.1695957244674833
KRW-ETH,donchian_20_10,35,-10.464113640577178,-17.386340245158483,46.270161290322584,-0.8204618392641937
KRW-ETH,momentum_24_120,77,-20.26249829035619,-20.26249829035619,44.905660377358494,-2.458781254132408
KRW-ETH,rsi_reversion_30_55,44,-32.73771455257328,-34.88027197912247,46.616541353383454,-2.981089373780694
KRW-ETH,bb_reversion_20_2,52,-27.376466274459656,-34.32279560742999,47.89719626168225,-2.371597364569549
KRW-ETH,breakout_close_k05,286,-23.129644339668477,-23.94744117693326,39.45783132530121,-3.6702291139569
KRW-POLYX,sma_cross_20_80,32,-39.93295307449187,-47.1652817023181,42.922723794950265,-1.4844924865602045
KRW-POLYX,ema_cross_12_48,49,-28.26941424251007,-36.755979355940205,43.735933983495876,-0.7052661150469977
KRW-POLYX,trend_sma50_200,41,-19.32380554403631,-40.120573473053646,43.84748700173311,-0.5773224777256581
KRW-POLYX,donchian_20_10,37,0.5360690249976319,-28.66849416484527,44.78976234003657,0.4171379978216761
KRW-POLYX,momentum_24_120,108,-41.7561738001482,-50.32711608067119,42.45115452930728,-1.7765362164008038
KRW-POLYX,rsi_reversion_30_55,44,-17.72914935001123,-35.64849409809649,44.72527472527473,-0.963520033177102
KRW-POLYX,bb_reversion_20_2,50,-0.14236624611961846,-26.12098798179331,47.18792866941015,0.18502375751016442
KRW-POLYX,breakout_close_k05,312,-65.87318514668345,-66.5156569000048,35.694822888283376,-5.789113570292559
KRW-DRIFT,sma_cross_20_80,26,-56.17398876404718,-61.72542087053267,33.998100664767335,-1.7661103524905344
KRW-DRIFT,ema_cross_12_48,38,-63.099136749333205,-68.56549866744652,34.61538461538461,-2.3282025010287306
KRW-DRIFT,trend_sma50_200,32,-41.71363190690573,-46.806979507952796,31.360946745562128,-2.3135669481215593
KRW-DRIFT,donchian_20_10,30,-53.52336054042475,-61.75552574358345,33.12034078807242,-1.7834858246047
KRW-DRIFT,momentum_24_120,77,-58.9997529456203,-61.888432423124144,34.930139720558884,-2.3880362167450913
KRW-DRIFT,rsi_reversion_30_55,61,13.960918383874677,-33.82799717962401,39.963167587476974,0.8623922232516488
KRW-DRIFT,bb_reversion_20_2,60,30.744865419904443,-30.827755207901298,39.77653631284917,1.4386778654538066
KRW-DRIFT,breakout_close_k05,224,-74.90440897248168,-75.43200238782487,27.238805970149254,-5.778946018150638
KRW-DOGE,sma_cross_20_80,28,-37.634236054005385,-44.79351426393503,29.322268326417706,-2.3070746390508488
KRW-DOGE,ema_cross_12_48,46,-34.24726775660773,-42.36359337090631,29.61622013034033,-2.025900046910298
KRW-DOGE,trend_sma50_200,53,-17.216975866804717,-28.803058883524223,28.942807625649912,-1.4095451545509847
KRW-DOGE,donchian_20_10,25,-27.105873737136765,-38.11195842316537,29.8932384341637,-1.6818660509940957
KRW-DOGE,momentum_24_120,108,-43.239979103533585,-47.83034224492475,28.785046728971963,-4.163510003474594
KRW-DOGE,rsi_reversion_30_55,47,-18.93262568655788,-32.42881508284984,29.474812433011788,-1.2715984170039252
KRW-DOGE,bb_reversion_20_2,57,19.186959948904025,-16.666666666666686,31.472081218274113,1.493303003906653
