strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-BTC,18,6.906348499268855,21.508204303920575,-10.715593378329336,49.112426035502956,0.8417740249608292
rsi_mean_reversion,KRW-BTC,43,-19.916587728872003,-47.685066469733194,-25.872437199992337,47.38095238095238,-2.3249480197471386
breakout_k05_trend,KRW-BTC,440,-35.611048049291504,-72.31230047370418,-37.1731945710573,42.26361031518625,-5.810384303915053
sma_cross_20_80,KRW-ETH,21,-12.501923106246803,-32.266294048456515,-16.84291185426362,46.89554419284149,-0.9101051672416961
rsi_mean_reversion,KRW-ETH,44,-32.73104247267774,-68.54271802103872,-34.87907204030448,46.723952738990334,-2.987599711719521
breakout_k05_trend,KRW-ETH,407,-26.180704970533153,-58.748414235715444,-27.91577892701007,40.88050314465409,-3.1701150195806598
sma_cross_20_80,KRW-XRP,29,-29.575199481073998,-64.04137940572893,-31.221134419732778,44.60016488046167,-2.7825790361067395
rsi_mean_reversion,KRW-XRP,57,-18.38403721646895,-44.71075300927212,-31.315318953410408,44.981751824817515,-1.3540349849392566
breakout_k05_trend,KRW-XRP,387,-38.43394831167354,-75.70644273328662,-40.360576147936115,38.556338028169016,-4.750040772983192
sma_cross_20_80,KRW-SOL,23,-13.035094307325224,-33.463261764927644,-24.40304003794258,45.46732255797611,-0.9094001659071205
rsi_mean_reversion,KRW-SOL,44,-42.11387309989669,-79.70401620028487,-43.3768886398458,43.438453713123096,-3.72202543799189
breakout_k05_trend,KRW-SOL,428,-44.40112417162919,-81.95585059711762,-45.13193738969752,40.605095541401276,-5.821076683422406
sma_cross_20_80,KRW-DOGE,28,-38.00842149795602,-75.20187122858299,-44.7952800005175,29.322268326417706,-2.337998948393175
rsi_mean_reversion,KRW-DOGE,47,-19.407885372768984,-46.698602227247086,-32.426161254220546,29.474812433011788,-1.3151790818114966
breakout_k05_trend,KRW-DOGE,397,-55.24522308953856,-90.41022038454999,-58.04394893791988,26.027397260273972,-6.643044390550364
sma_cross_20_80,KRW-ADA,31,-35.82352038401779,-72.56616318757798,-38.38772386532189,36.85800604229607,-2.835616426659234
rsi_mean_reversion,KRW-ADA,51,-19.168749934194572,-46.236084768905094,-27.384790539729497,39.0748031496063,-1.4112380406077367
breakout_k05_trend,KRW-ADA,410,-56.89510441176442,-91.40514251914735,-58.876875527188986,32.94314381270903,-7.146336784278426
sma_cross_20_80,KRW-AVAX,25,-37.330163508258806,-74.40235177588973,-38.94619928094708,43.80530973451327,-3.329726752209447
rsi_mean_reversion,KRW-AVAX,51,-33.211896470827526,-69.18210279859576,-36.447988367621384,45.30168150346192,-2.9449193407355674
breakout_k05_trend,KRW-AVAX,418,-50.894956484578735,-87.43133472224103,-54.018359442117905,41.12903225806452,-6.33315307353711
sma_cross_20_80,KRW-LINK,25,-31.419040903305962,-66.70712932361403,-36.459409793042475,45.1588502269289,-2.7843676660327654
rsi_mean_reversion,KRW-LINK,49,-23.93382029427329,-54.9659058273656,-29.580448068596965,46.51898734177215,-2.000819712609611
breakout_k05_trend,KRW-LINK,415,-41.20935637264389,-78.75401105241735,-42.643082734372804,42.703533026113675,-5.284093275674279
sma_cross_20_80,KRW-DOT,29,-49.86718812398551,-86.64873556224387,-50.62069447022648,44.02224281742354,-4.267836050631523
rsi_mean_reversion,KRW-DOT,54,2.384006614177836,7.111970504718634,-22.480683389569755,46.312684365781706,0.3730741316672608
breakout_k05_trend,KRW-DOT,357,-43.4451739480366,-81.02534562184967,-48.316899245384285,43.51005484460695,-4.1014991095588
sma_cross_20_80,KRW-TRX,21,4.166769188962349,12.641989876578187,-10.493392270360646,36.144578313253014,0.6158457215426039
rsi_mean_reversion,KRW-TRX,39,6.283938389828614,19.44902128698949,-8.401734635052339,34.84848484848485,1.3671960216355012
breakout_k05_trend,KRW-TRX,458,-40.403911439242876,-77.89401673615858,-41.01697769670031,33.779761904761905,-10.415376747469173
sma_cross_20_80,KRW-BCH,22,-22.782066234615506,-52.948481556398086,-24.388319563108997,44.416456759026026,-2.1399769728555635
rsi_mean_reversion,KRW-BCH,51,-13.384958919462676,-34.23192531946139,-18.42813037330403,46.08695652173913,-1.1165401357878835
breakout_k05_trend,KRW-BCH,377,-51.51070471115171,-87.88542443565565,-51.820325934576694,39.891696750902526,-8.159177958300937
sma_cross_20_80,KRW-ETC,25,-33.584696182349816,-69.68105495747028,-38.88889181953367,45.262333594361785,-2.838123238088885
rsi_mean_reversion,KRW-ETC,52,-25.018161603813805,-56.81251088549841,-34.03297415307118,47.02048417132216,-2.0754129899881018
breakout_k05_trend,KRW-ETC,391,-41.484519051245364,-79.04268889683746,-44.917820770386896,40.0,-4.707696364480694
sma_cross_20_80,KRW-NEAR,20,7.610700173395668,23.849448248820494,-21.659131682491562,47.80526735833999,0.6725735718358791
rsi_mean_reversion,KRW-NEAR,53,0.14567470772008928,0.4253968805748576,-27.051150318424543,48.627450980392155,0.22476560382399133
breakout_k05_trend,KRW-NEAR,379,-19.43012369467141,-46.74148051360255,-28.321135844315137,45.699831365935914,-1.2905768587430038
sma_cross_20_80,KRW-SUI,21,-14.413354738215178,-36.49283762658894,-34.619151854802055,44.61778471138845,-0.6944494675403435
rsi_mean_reversion,KRW-SUI,52,-31.59719053227069,-66.97087971344338,-46.08656772023881,45.545545545545544,-2.2253315988206728
breakout_k05_trend,KRW-SUI,387,-37.94521015511442,-75.1395838409662,-51.44836247521152,40.3035413153457,-3.324519820937807
sma_cross_20_80,KRW-SEI,24,-23.224091778043466,-53.741483683726756,-40.576949424645846,38.248048568950566,-1.3491368853008794
rsi_mean_reversion,KRW-SEI,49,-30.60420110815324,-65.55265701826023,-35.377394707781995,38.59649122807017,-2.3759674394841666
breakout_k05_trend,KRW-SEI,349,-31.315533905603843,-66.5725848462389,-35.24317721032404,37.4031007751938,-2.9140923505687004
