strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-DOGE,28,-38.00842149795602,-75.20187122858299,-44.7952800005175,29.322268326417706,-2.337998948393175
rsi_mean_reversion,KRW-DOGE,47,-19.407885372768984,-46.698602227247086,-32.426161254220546,29.474812433011788,-1.3151790818114966
bb_reversion_20_2,KRW-DOGE,57,19.21265568587831,66.94159044032972,-16.66666666666664,31.472081218274113,1.4994109353661962
breakout_k05_trend,KRW-DOGE,397,-55.24522308953856,-90.41022038454999,-58.04394893791988,26.027397260273972,-6.643044390550364
