strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-POLYX,32,-40.0769841534138,-77.51619781809079,-47.16506007725507,42.922723794950265,-1.492321256037397
rsi_mean_reversion,KRW-POLYX,44,-17.711190325220237,-43.33844340466595,-35.60874189354518,44.72527472527473,-0.9663462175879495
bb_reversion_20_2,KRW-POLYX,50,-0.12238322928320722,-0.35622815019789034,-26.116194612054954,47.18792866941015,0.18574762015328367
breakout_k05_trend,KRW-POLYX,410,-62.870897444096265,-94.42719236759768,-67.62424158723026,41.07424960505529,-4.348364864661262
