strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-CHZ,21,6.3642891125851975,19.705379737456163,-35.599523477020156,46.04966139954853,0.6003432048476384
rsi_mean_reversion,KRW-CHZ,44,-35.296561259771764,-71.89222162167893,-40.1563319794985,43.764434180138565,-2.609363665135643
bb_reversion_20_2,KRW-CHZ,49,-14.181680011530883,-35.97105728433452,-25.97980011652391,45.82309582309582,-0.7939658678345805
breakout_k05_trend,KRW-CHZ,411,-39.96624156062567,-77.4060773233449,-48.821140514954465,42.53731343283582,-2.919832399423503
