strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-ZBT,23,7.544880135943655,23.611229038933914,-56.57486132831553,35.32651455546814,0.8329299318859293
rsi_mean_reversion,KRW-ZBT,50,18.978316298858754,65.93048343806271,-28.78684348720264,35.00545256270447,1.0697786341047584
bb_reversion_20_2,KRW-ZBT,44,7.6837145837640675,24.07683338091484,-19.823838431054853,34.22712933753943,0.6728181078080848
breakout_k05_trend,KRW-ZBT,396,-67.0761747003166,-96.07407355697273,-69.12971172179951,36.22183708838821,-2.3576128031397703
