strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-SOL,23,-13.035094307325224,-33.463261764927644,-24.40304003794258,45.46732255797611,-0.9094001659071205
rsi_mean_reversion,KRW-SOL,44,-42.24444331094956,-79.83727292334846,-43.3768886398458,43.438453713123096,-3.7380823443632516
bb_reversion_20_2,KRW-SOL,54,-36.66923052392887,-73.6188441632129,-39.44550571957729,43.4878587196468,-3.2575954029687155
breakout_k05_trend,KRW-SOL,428,-44.40112417162919,-81.95585059711762,-45.13193738969752,40.605095541401276,-5.821076683422406
