strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-BTC,18,6.906348499268855,21.508204303920575,-10.715593378329336,49.112426035502956,0.8417740249608292
rsi_mean_reversion,KRW-BTC,43,-19.871065329708838,-47.59827168393416,-25.872437199992337,47.38095238095238,-2.318581069608858
bb_reversion_20_2,KRW-BTC,48,-21.0334940801554,-49.78511186220677,-26.774766776142823,46.85990338164252,-2.5381224991435123
breakout_k05_trend,KRW-BTC,440,-35.611048049291504,-72.31230047370418,-37.1731945710573,42.26361031518625,-5.810384303915053
sma_cross_20_80,KRW-XRP,29,-29.575199481073998,-64.04137940572893,-31.221134419732778,44.60016488046167,-2.7825790361067395
rsi_mean_reversion,KRW-XRP,57,-18.38403721646895,-44.71075300927212,-31.315318953410408,44.981751824817515,-1.3540349849392566
bb_reversion_20_2,KRW-XRP,54,-14.767122048554327,-37.25555078040964,-27.295320540825262,45.120551090700346,-1.1458135103700142
breakout_k05_trend,KRW-XRP,387,-38.43394831167354,-75.70644273328662,-40.360576147936115,38.556338028169016,-4.750040772983192
sma_cross_20_80,KRW-ETH,21,-12.501923106246803,-32.266294048456515,-16.84291185426362,46.89554419284149,-0.9101051672416961
rsi_mean_reversion,KRW-ETH,44,-32.791827675262674,-68.62556504576993,-34.87907204030448,46.616541353383454,-2.9948266058005624
bb_reversion_20_2,KRW-ETH,52,-27.42482502687539,-60.74388474782402,-34.30378723669249,48.24766355140187,-2.39140872193211
breakout_k05_trend,KRW-ETH,407,-26.180704970533153,-58.748414235715444,-27.91577892701007,40.88050314465409,-3.1701150195806598
sma_cross_20_80,KRW-POLYX,32,-40.0769841534138,-77.51619781809079,-47.16506007725507,42.922723794950265,-1.492321256037397
rsi_mean_reversion,KRW-POLYX,44,-17.711190325220237,-43.33844340466595,-35.60874189354518,44.72527472527473,-0.9663462175879495
bb_reversion_20_2,KRW-POLYX,50,-0.12238322928320722,-0.35622815019789034,-26.116194612054954,47.18792866941015,0.18574762015328367
breakout_k05_trend,KRW-POLYX,410,-62.870897444096265,-94.42719236759768,-67.62424158723026,41.07424960505529,-4.348364864661262
sma_cross_20_80,KRW-DRIFT,26,-56.17044523179926,-90.96973881417088,-61.72304155577666,33.998100664767335,-1.7664767312499723
rsi_mean_reversion,KRW-DRIFT,61,13.990014955455443,46.4788075224273,-33.79332560591421,39.963167587476974,0.8631793705132013
bb_reversion_20_2,KRW-DRIFT,60,30.81514969152961,118.81379226877482,-30.789612536117794,39.77653631284917,1.4433263324753727
breakout_k05_trend,KRW-DRIFT,315,-67.19950113890893,-96.12097088668528,-68.25455923958708,34.38818565400844,-3.3504891132632753
sma_cross_20_80,KRW-DOGE,28,-38.00842149795602,-75.20187122858299,-44.7952800005175,29.322268326417706,-2.337998948393175
rsi_mean_reversion,KRW-DOGE,47,-19.407885372768984,-46.698602227247086,-32.426161254220546,29.474812433011788,-1.3151790818114966
bb_reversion_20_2,KRW-DOGE,57,19.21265568587831,66.94159044032972,-16.66666666666664,31.472081218274113,1.4994109353661962
breakout_k05_trend,KRW-DOGE,397,-55.24522308953856,-90.41022038454999,-58.04394893791988,26.027397260273972,-6.643044390550364
sma_cross_20_80,KRW-STORJ,30,-22.590881525049454,-52.16382941098034,-36.14343272019715,31.794871794871792,-0.5160857367762984
rsi_mean_reversion,KRW-STORJ,45,1.6276885469368008,4.759275257414219,-23.066018357761987,33.70786516853933,0.3499117786406679
bb_reversion_20_2,KRW-STORJ,53,35.03266402803731,137.4776174325058,-14.289324558300242,36.61971830985916,2.0171606271593143
breakout_k05_trend,KRW-STORJ,388,-46.81149029899247,-83.76539022857575,-64.1242487690588,27.683615819209038,-2.1269947526344066
sma_cross_20_80,KRW-FF,32,-63.646212293264924,-94.70809027003692,-67.60915608011588,28.809523809523807,-4.114810532099412
rsi_mean_reversion,KRW-FF,45,16.559550170152605,56.05902350001435,-19.35566480437314,31.968295904887718,1.167960840528847
bb_reversion_20_2,KRW-FF,58,34.923669209071015,138.69439419680748,-17.373750737447303,34.12112259970458,2.2556218980156046
breakout_k05_trend,KRW-FF,380,-43.42023565511028,-80.87497690453401,-61.768078116930006,25.508317929759706,-0.48786269283567923
sma_cross_20_80,KRW-SAHARA,21,61.67040871515746,305.87282954926883,-34.23511334974001,42.245199409158054,1.7141830331116936
rsi_mean_reversion,KRW-SAHARA,52,-13.047615463320438,-33.48217319725055,-44.639797785632716,40.83570750237417,-0.09836671580160936
bb_reversion_20_2,KRW-SAHARA,48,5.225917553704296,16.01451534775691,-22.29934100370884,42.214111922141115,0.5440883227647432
breakout_k05_trend,KRW-SAHARA,374,-26.20332542556516,-58.77311464995205,-42.41970122367421,39.0,-0.3235781201713799
sma_cross_20_80,KRW-SOL,23,-13.035094307325224,-33.463261764927644,-24.40304003794258,45.46732255797611,-0.9094001659071205
rsi_mean_reversion,KRW-SOL,44,-42.24444331094956,-79.83727292334846,-43.3768886398458,43.438453713123096,-3.7380823443632516
bb_reversion_20_2,KRW-SOL,54,-36.66923052392887,-73.6188441632129,-39.44550571957729,43.4878587196468,-3.2575954029687155
breakout_k05_trend,KRW-SOL,428,-44.40112417162919,-81.95585059711762,-45.13193738969752,40.605095541401276,-5.821076683422406
sma_cross_20_80,KRW-ONDO,30,-1.0049204817175528,-2.9032858391710104,-33.27451282560021,41.01123595505618,0.24619699602619197
rsi_mean_reversion,KRW-ONDO,50,-37.097033505117736,-74.1353274580981,-42.00662838234458,39.76945244956772,-2.6775357474377786
bb_reversion_20_2,KRW-ONDO,47,-20.02931671893171,-47.899593177409905,-26.240420276166898,40.7035175879397,-1.4149862147549768
breakout_k05_trend,KRW-ONDO,402,-34.58051966589946,-70.99971270368553,-43.76368936179944,39.96789727126806,-2.5065733514557738
sma_cross_20_80,KRW-SUI,21,-14.413354738215178,-36.49283762658894,-34.619151854802055,44.61778471138845,-0.6944494675403435
rsi_mean_reversion,KRW-SUI,52,-31.59719053227069,-66.97087971344338,-46.08656772023881,45.545545545545544,-2.2253315988206728
bb_reversion_20_2,KRW-SUI,56,-12.663906548391246,-32.63143018159742,-27.51757073835135,47.146118721461185,-0.7302297917991355
breakout_k05_trend,KRW-SUI,387,-37.94521015511442,-75.1395838409662,-51.44836247521152,40.3035413153457,-3.324519820937807
sma_cross_20_80,KRW-XLM,23,-14.585208495698065,-36.85444014123712,-25.63418604847755,36.03082851637765,-1.0087097830262028
rsi_mean_reversion,KRW-XLM,53,-20.81728460807354,-49.37152088318473,-26.029444900785336,33.18014705882353,-1.537900882002827
bb_reversion_20_2,KRW-XLM,58,6.149272819082374,19.00821436225697,-16.731517509727645,34.993924665856625,0.6818016892124451
breakout_k05_trend,KRW-XLM,313,-37.09814177267735,-74.1250109494795,-39.64983958292323,35.1288056206089,-4.7305661037341
sma_cross_20_80,KRW-ZBT,23,7.544880135943655,23.611229038933914,-56.57486132831553,35.32651455546814,0.8329299318859293
rsi_mean_reversion,KRW-ZBT,50,18.978316298858754,65.93048343806271,-28.78684348720264,35.00545256270447,1.0697786341047584
bb_reversion_20_2,KRW-ZBT,44,7.6837145837640675,24.07683338091484,-19.823838431054853,34.22712933753943,0.6728181078080848
breakout_k05_trend,KRW-ZBT,396,-67.0761747003166,-96.07407355697273,-69.12971172179951,36.22183708838821,-2.3576128031397703
sma_cross_20_80,KRW-ORCA,23,38.56295949100357,158.6109068708029,-38.65604433668168,45.962732919254655,1.3464756801774476
rsi_mean_reversion,KRW-ORCA,43,-29.328908099154827,-63.62434394096657,-48.27973580177465,44.6078431372549,-0.862624904277568
bb_reversion_20_2,KRW-ORCA,55,-20.620292521910955,-48.96907448767708,-34.453828055041804,45.77226606538895,-0.9082397725559967
breakout_k05_trend,KRW-ORCA,399,-30.06377197410203,-64.71532906470776,-53.56560022998107,41.993464052287585,-0.19472896666691433
sma_cross_20_80,KRW-ADA,31,-35.82352038401779,-72.56616318757798,-38.38772386532189,36.85800604229607,-2.835616426659234
rsi_mean_reversion,KRW-ADA,51,-19.376542350816184,-46.63813042704948,-27.384790539729497,39.0748031496063,-1.430540194595764
