strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-XRP,29,-29.575199481073998,-64.04137940572893,-31.221134419732778,44.60016488046167,-2.7825790361067395
rsi_mean_reversion,KRW-XRP,57,-18.38403721646895,-44.71075300927212,-31.315318953410408,44.981751824817515,-1.3540349849392566
bb_reversion_20_2,KRW-XRP,54,-14.767122048554327,-37.25555078040964,-27.295320540825262,45.120551090700346,-1.1458135103700142
breakout_k05_trend,KRW-XRP,387,-38.43394831167354,-75.70644273328662,-40.360576147936115,38.556338028169016,-4.750040772983192
