strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-IP,18,-48.04414684146201,-85.19248431210917,-57.5568751211093,41.06951871657754,-2.8633464773061323
rsi_mean_reversion,KRW-IP,58,-42.4846876440388,-80.08095553755263,-53.078551727618176,43.56435643564357,-1.7000955207247976
bb_reversion_20_2,KRW-IP,52,-30.09565580071516,-64.81109455142185,-37.64933623021034,43.859649122807014,-1.229276729630802
breakout_k05_trend,KRW-IP,314,-38.185519806224896,-75.41937880374361,-58.498865320446434,40.57971014492754,-2.2725819033352117
