strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-ORCA,23,38.56295949100357,158.6109068708029,-38.65604433668168,45.962732919254655,1.3464756801774476
rsi_mean_reversion,KRW-ORCA,43,-29.328908099154827,-63.62434394096657,-48.27973580177465,44.6078431372549,-0.862624904277568
bb_reversion_20_2,KRW-ORCA,55,-20.620292521910955,-48.96907448767708,-34.453828055041804,45.77226606538895,-0.9082397725559967
breakout_k05_trend,KRW-ORCA,399,-30.06377197410203,-64.71532906470776,-53.56560022998107,41.993464052287585,-0.19472896666691433
