strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-ADA,31,-35.82352038401779,-72.56616318757798,-38.38772386532189,36.85800604229607,-2.835616426659234
rsi_mean_reversion,KRW-ADA,51,-19.376542350816184,-46.63813042704948,-27.384790539729497,39.0748031496063,-1.430540194595764
bb_reversion_20_2,KRW-ADA,49,-13.229793503286569,-33.887760822600576,-23.05800384676222,39.653179190751445,-0.9635219093156132
breakout_k05_trend,KRW-ADA,410,-56.89510441176442,-91.40514251914735,-58.876875527188986,32.94314381270903,-7.146336784278426
