strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-ADA,31,-32.89655256369417,-68.75586158429283,-35.91911847762178,37.0,-2.5531284201286084
rsi_mean_reversion,KRW-ADA,52,-20.12819374093494,-48.07595163272418,-27.384790539729497,38.97485493230174,-1.4966573260448546
bb_reversion_20_2,KRW-ADA,49,-14.614203202559517,-36.91692738715591,-23.05800384676222,39.47963800904977,-1.088206566204173
breakout_k05_trend,KRW-ADA,405,-58.54066052150891,-92.32737297641643,-58.87687552718908,32.54237288135593,-7.546019475793361
