strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-POLYX,32,-40.74511789597835,-78.23898612878337,-47.16506007725489,43.07574598316756,-1.5235993880641023
rsi_mean_reversion,KRW-POLYX,44,-17.982937107538135,-43.882011335398985,-35.608741893545115,44.66446644664466,-0.985843809249385
bb_reversion_20_2,KRW-POLYX,50,-2.934578309558322,-8.313822790737301,-26.116194612054965,47.05075445816186,-0.030901286962638018
breakout_k05_trend,KRW-POLYX,408,-65.68354404149365,-95.57029968377697,-67.62424158723034,40.160000000000004,-4.731350273616072
