strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-BTC,18,5.427185845933558,16.668785915490638,-10.715593378329336,49.0313961255845,0.6978855919419584
rsi_mean_reversion,KRW-BTC,44,-20.372931359174128,-48.5499335459226,-25.872437199992337,47.31934731934732,-2.3857452062289712
bb_reversion_20_2,KRW-BTC,48,-22.172453384254766,-51.86877373087576,-26.774766776142823,46.5962441314554,-2.697273412590053
breakout_k05_trend,KRW-BTC,434,-36.687121687341914,-73.64057862059022,-37.17319457105742,41.874084919472914,-6.074892822905721
