strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-FF,32,-63.095397328011394,-94.47182997696807,-67.42029908229026,29.01185770750988,-3.978480991867926
rsi_mean_reversion,KRW-FF,45,16.559550170152605,56.05902350001435,-19.35566480437314,31.968295904887718,1.167960840528847
bb_reversion_20_2,KRW-FF,58,35.977760374766746,144.15111259434488,-17.373750737447246,34.18290854572714,2.314950736020066
breakout_k05_trend,KRW-FF,387,-47.55597217787248,-84.65896914854278,-61.768078116930006,25.500910746812387,-0.6220789465522123
