strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-SUI,21,-12.142291368873003,-31.450983777696596,-32.9483079577582,44.5945945945946,-0.5489208452144139
rsi_mean_reversion,KRW-SUI,52,-33.641022915834014,-69.76801891518056,-46.08656772023881,45.294117647058826,-2.4053532547204237
bb_reversion_20_2,KRW-SUI,55,-17.124505423781056,-42.184768818750754,-27.51757073835147,46.801346801346796,-1.090474888127134
breakout_k05_trend,KRW-SUI,384,-38.97438420363938,-76.32329753475067,-51.37011420240778,40.27303754266212,-3.456539459658592
