strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-VIRTUAL,21,-6.533962793312053,-17.884851009074644,-29.150640715855346,46.911764705882355,0.05573342701859907
rsi_mean_reversion,KRW-VIRTUAL,57,-25.047288464556928,-56.86141417699591,-37.37509285420323,45.12694512694513,-1.1861995437917814
bb_reversion_20_2,KRW-VIRTUAL,50,-15.766410100708605,-39.36731096176131,-26.39719263032102,44.0046565774156,-0.7574415175525963
breakout_k05_trend,KRW-VIRTUAL,389,-40.23051376476276,-77.70593374845141,-47.8178811755918,42.4390243902439,-2.36678750446119
