strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-XRP,29,-27.82078747912491,-61.36539547123853,-31.221134419732856,44.65937762825904,-2.598991100707442
rsi_mean_reversion,KRW-XRP,57,-19.605418956443778,-47.08989197192518,-31.315318953410408,44.67323187108326,-1.4653801655246301
bb_reversion_20_2,KRW-XRP,53,-16.9275555028818,-41.7830616307144,-27.29532054082532,44.68325791855204,-1.3633951032457665
breakout_k05_trend,KRW-XRP,385,-39.886912691618626,-77.34133374902143,-40.36057614793609,38.18827708703375,-5.017183960976434
