strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-CVC,28,-30.75336117391082,-65.65836924102908,-31.86718567115333,40.150880134115674,-1.694121344579223
rsi_mean_reversion,KRW-CVC,50,15.485851153255137,52.00455762310972,-16.862745098039245,43.56103023516237,1.2659672500067898
bb_reversion_20_2,KRW-CVC,58,3.007476558420219,9.000135124118835,-16.612660048400908,44.827586206896555,0.42164256911982073
breakout_k05_trend,KRW-CVC,390,-61.3819975156441,-93.71604160845813,-62.15051474716361,35.92920353982301,-5.757195942758569
