strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-GLM,22,-30.64057924731086,-65.43454354951041,-34.78268210272738,33.249370277078086,-2.1596422425392725
rsi_mean_reversion,KRW-GLM,51,-19.970070702469812,-47.62923300920724,-46.2968203088196,35.62992125984252,-1.1236735209202533
bb_reversion_20_2,KRW-GLM,56,-5.3026740577945315,-14.63193151837462,-34.91406106369723,37.54427390791027,-0.15392955644871842
breakout_k05_trend,KRW-GLM,365,-59.27744589040014,-92.63559305363098,-59.513455467081066,31.485148514851485,-7.370451079876887
