strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-ETH,21,-12.03459566186793,-31.20558143908432,-16.826112442517037,46.84014869888476,-0.8749391195706016
rsi_mean_reversion,KRW-ETH,45,-33.2607427885732,-69.25985647144203,-34.87907204030448,46.835443037974684,-3.04612000322325
bb_reversion_20_2,KRW-ETH,52,-29.022047750130763,-63.21126923287584,-34.30378723669249,48.18181818181818,-2.5624469434287804
breakout_k05_trend,KRW-ETH,403,-27.507989647869312,-60.874962652418404,-27.915778927010116,40.57507987220447,-3.3786605949577067
